<<<<<<< HEAD
#Date/Time of Update: 2016-10-29 3:14:33 AM,#Game Date,#Game Teams,#Player ID,#LastName,#FirstName,#Position,#Team ID,#Team Abbr.,#Team City,#Team Name,#Fg2PtAtt,#Fg2PtAttPerGame,#Fg2PtMade,#Fg2PtMadePerGame,#Fg2PtPct,#Fg3PtAtt,#Fg3PtAttPerGame,#Fg3PtMade,#Fg3PtMadePerGame,#Fg3PtPct,#FgAtt,#FgAttPerGame,#FgMade,#FgMadePerGame,#FgPct,#FtAtt,#FtAttPerGame,#FtMade,#FtMadePerGame,#FtPct,#OffReb,#OffRebPerGame,#DefReb,#DefRebPerGame,#Reb,#RebPerGame,#Ast,#AstPerGame,#Pts,#PtsPerGame,#Tov,#TovPerGame,#Stl,#StlPerGame,#Blk,#BlkPerGame,#BlkAgainst,#BlkAgainstPerGame,#FoulPers,#FoulPersPerGame,#PlusMinus,#PlusMinusPerGame,#MinSeconds,#MinSecondsPerGame,#Fouls,#FoulsPerGame,#FoulsDrawn,#FoulsDrawnPerGame,#FoulPersDrawn,#FoulPersDrawnPerGame,#FoulTech,#FoulTechPerGame,#FoulTechDrawn,#FoulTechDrawnPerGame,#FoulFlag1,#FoulFlag1PerGame,#FoulFlag1Drawn,#FoulFlag1DrawnPerGame,#FoulFlag2,#FoulFlag2PerGame,#FoulFlag2Drawn,#FoulFlag2DrawnPerGame,#Ejections
,2016-10-28,PHX@OKL,10138,Abrines,Alex,F,96,OKL,Oklahoma City,Thunder,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
,2016-10-28,HOU@DAL,9466,Acy,Quincy,PF,108,DAL,Dallas,Mavericks,2,2.0,0,0.0,0.0,3,3.0,1,1.0,33.3,5,5.0,1,1.0,20.0,0,0.0,0,0.0,0.0,0,0.0,1,1.0,1,1.0,0,0.0,3,3.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,-5,-5.0,464,464.0,2,2.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
,2016-10-28,PHX@OKL,9390,Adams,Steven,C,96,OKL,Oklahoma City,Thunder,8,8.0,3,3.0,37.5,0,0.0,0,0.0,0.0,8,8.0,3,3.0,37.5,3,3.0,3,3.0,100.0,6,6.0,4,4.0,10,10.0,0,0.0,9,9.0,6,6.0,1,1.0,0,0.0,0,0.0,2,2.0,-4,-4.0,2382,2382.0,7,7.0,0,0.0,5,5.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
,2016-10-28,GSW@NOP,9357,Ajinca,Alexis,C,110,NOP,New Orleans,Pelicans,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
,2016-10-28,IND@BRO,9254,Allen,Lavoy,PF,87,IND,Indiana,Pacers,1,1.0,0,0.0,0.0,1,1.0,0,0.0,0.0,2,2.0,0,0.0,0.0,2,2.0,0,0.0,0.0,0,0.0,1,1.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,-6,-6.0,387,387.0,1,1.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
,2016-10-28,CLE@TOR,9297,Andersen,Chris,C,86,CLE,Cleveland,Cavaliers,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
,2016-10-28,HOU@DAL,9178,Anderson,Justin,SF,108,DAL,Dallas,Mavericks,2,2.0,1,1.0,50.0,3,3.0,1,1.0,33.3,5,5.0,2,2.0,40.0,6,6.0,4,4.0,66.7,1,1.0,2,2.0,3,3.0,0,0.0,9,9.0,2,2.0,2,2.0,1,1.0,0,0.0,0,0.0,-12,-12.0,1210,1210.0,3,3.0,0,0.0,3,3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
,2016-10-28,HOU@DAL,9353,Anderson,Ryan,PF,109,HOU,Houston,Rockets,4,4.0,1,1.0,25.0,1,1.0,1,1.0,100.0,5,5.0,2,2.0,40.0,0,0.0,0,0.0,0.0,1,1.0,3,3.0,4,4.0,0,0.0,5,5.0,2,2.0,0,0.0,0,0.0,0,0.0,2,2.0,5,5.0,1480,1480.0,2,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
,2016-10-28,HOU@DAL,9235,Ariza,Trevor,SF,109,HOU,Houston,Rockets,5,5.0,3,3.0,60.0,7,7.0,5,5.0,71.4,12,12.0,8,8.0,66.7,6,6.0,6,6.0,100.0,0,0.0,4,4.0,4,4.0,0,0.0,27,27.0,0,0.0,1,1.0,0,0.0,0,0.0,3,3.0,7,7.0,2140,2140.0,5,5.0,0,0.0,2,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
,2016-10-28,GSW@NOP,9358,Asik,Omer,C,110,NOP,New Orleans,Pelicans,1,1.0,1,1.0,100.0,0,0.0,0,0.0,0.0,1,1.0,1,1.0,100.0,0,0.0,0,0.0,0.0,0,0.0,3,3.0,3,3.0,0,0.0,2,2.0,1,1.0,0,0.0,1,1.0,0,0.0,0,0.0,-7,-7.0,466,466.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
